QSO-J1137+0045,51.4,51.1,-4.0,-3.32,8.0,1.47,-137.0,-384.0,-15.366,-47.252,-0.3,-2.69,15.9,7.52,32.9,1.53
QSO-J1137+3549,63.2,62.6,-0.0,-0.0,5.0,5.0,-13.0,-46.0,65.651,-93.043,1.05,-0.21,15.6,18.4,83.0,1.73
QSO-J1148+0702,44.1,42.7,-0.0,-0.0,5.0,5.0,-8.0,-49.0,67.69,-41.117,1.59,-0.18,8.0,14.0,104.3,1.34
QSO-J1148+5251,45.1,45.9,4.0,-2.26,4.82,1.25,124.0,186.0,1.086,-39.966,0.02,2.71,149.4,6.55,4.7,1.4
QSO-J1152+0055,38.9,38.1,-0.0,0.0,5.0,5.0,-3.0,-17.0,11.951,27.527,0.31,-0.08,101.6,12.68,4.0,3.0
QSO-J1201+0133,37.6,36.6,-0.0,0.0,5.0,5.0,-15.0,-87.0,-41.976,16.082,-1.15,-0.4,7.3,10.23,69.6,1.54
QSO-J1205-0000,40.2,40.6,-2.94,1.89,6.23,1.25,87.0,164.0,48.544,2.46,1.2,2.14,34.5,9.03,39.1,1.65
QSO-J1207-0005,42.4,41.3,-0.0,0.0,5.0,5.0,11.0,59.0,14.848,-18.058,0.36,0.27,4.4,7.64,125.6,2.36
QSO-J1207+0630,42.6,41.9,0.05,-2.2,2.48,1.6,78.0,95.0,57.317,3.286,1.37,1.86,12.3,15.58,48.2,1.5
QSO-J1208-0200,41.1,41.0,0.0,0.0,5.0,5.0,-16.0,-86.0,1.517,21.861,0.04,-0.38,26.4,9.56,36.9,2.31
QSO-J1212+0505,50.5,51.1,0.0,-0.0,5.0,5.0,-10.0,-73.0,22.829,5.735,0.45,-0.2,19.6,11.22,44.7,1.57
QSO-J1217+0131,39.5,39.9,0.0,0.0,5.0,5.0,2.0,12.0,24.089,-22.135,0.6,0.05,3.5,4.29,208.7,1.59
QSO-J1231+0052,54.2,46.5,0.0,0.0,5.0,5.0,-8.0,-48.0,-10.799,-47.679,-0.23,-0.17,6.7,9.99,62.6,2.4
QSO-J1250+3130,35.6,34.9,2.09,-0.81,4.52,1.21,68.0,109.0,56.222,-17.553,1.61,1.95,8.5,13.27,44.7,1.27
QSO-J1254-0014,32.6,32.3,-1.19,1.98,2.22,1.28,111.0,85.0,-9.629,-18.53,-0.3,3.44,8.1,8.41,62.6,2.33
QSO-J1257+6349,37.8,37.8,-0.0,0.0,5.0,5.0,-1.0,-9.0,8.912,72.435,0.24,-0.03,42.1,6.53,13.6,1.45
QSO-J1306+0356,29.2,28.9,-0.0,-0.0,5.0,5.0,-13.0,-102.0,-13.989,-75.284,-0.48,-0.47,73.9,14.93,12.0,1.54
QSO-J1319+0950,27.4,27.2,0.23,-4.0,1.78,8.0,42.0,195.0,-7.398,-4.626,-0.27,1.55,26.9,16.22,31.3,1.43
QSO-J1342+0928,29.8,30.0,-0.0,0.0,5.0,5.0,-11.0,-89.0,-30.39,-11.322,-1.01,-0.37,36.1,19.18,34.8,2.08
QSO-J1344+0128,42.0,41.1,3.73,4.0,1.52,8.0,57.0,137.0,-20.424,41.38,-0.5,1.38,15.3,10.09,16.5,4.35
QSO-J1347-0157,35.7,35.2,-0.0,0.0,5.0,5.0,13.0,73.0,35.74,91.519,1.02,0.36,11.5,14.0,24.1,2.04
QSO-J1350-0027,34.3,34.8,-0.0,0.0,5.0,5.0,-9.0,-54.0,-15.588,-45.59,-0.45,-0.26,7.3,19.21,31.3,1.75
QSO-J1401+2749,37.3,36.9,-0.0,-0.0,5.0,5.0,3.0,22.0,5.563,2.449,0.15,0.09,39.2,7.52,22.4,1.22
QSO-J1402+4024,34.6,34.3,0.0,0.0,5.0,5.0,2.0,17.0,11.582,-10.42,0.34,0.07,9.3,6.27,89.4,1.44
QSO-J1416+0015,38.5,38.4,0.0,0.0,5.0,5.0,10.0,63.0,21.679,18.751,0.56,0.27,18.0,13.64,31.3,1.56
QSO-J1417+0117,39.0,40.0,-0.0,-0.0,5.0,5.0,-3.0,-17.0,-18.581,17.194,-0.46,-0.07,9.4,17.18,39.1,2.05
QSO-J1423-0018,34.1,34.3,0.22,1.55,3.97,1.02,97.0,93.0,-28.459,18.852,-0.83,2.84,4.1,19.68,104.3,1.73
QSO-J1425-0015,37.5,36.6,0.0,0.0,5.0,5.0,-8.0,-48.0,-24.365,-2.495,-0.67,-0.22,20.3,8.95,41.7,1.77
QSO-J1426-0128,36.4,35.7,-3.18,1.39,4.12,1.42,52.0,81.0,28.819,-62.065,0.81,1.46,18.1,4.52,20.2,1.46
QSO-J1427+3312,45.8,33.6,-1.06,-1.23,2.13,1.51,1264.0,1218.0,1264.2987418722241,9.462,37.63,37.63,9.9,4.97,24.2,1.31
QSO-J1428-1602,40.0,40.4,-0.6,3.94,2.86,7.11,-54.0,-273.0,23.548,-5.428,0.58,-1.34,47.6,9.73,14.6,1.66
QSO-J1429-0002,36.1,36.2,-0.0,0.0,5.0,5.0,-5.0,-32.0,38.813,-30.022,1.07,-0.14,6.3,19.1,41.7,1.6
QSO-J1429-0104,38.2,37.4,0.0,-0.0,5.0,5.0,-15.0,-95.0,-46.607,25.381,-1.25,-0.41,146.1,14.01,4.0,2.65
QSO-J1429+5447,80.5,35.8,-1.11,-1.02,1.66,1.89,2965.0,2887.0,2964.544409637564,14.811,82.81,82.81,31.8,4.56,19.0,1.34
QSO-J1431-0724,37.2,37.3,0.89,-1.14,4.36,1.33,79.0,113.0,63.903,0.271,1.71,2.12,25.2,12.45,18.4,1.84
QSO-J1440+0107,34.9,34.7,-1.54,-2.97,6.32,1.34,57.0,128.0,15.882,30.379,0.46,1.65,4.5,21.62,78.2,1.59
QSO-J1448+4333,38.3,38.6,-0.0,-0.0,5.0,5.0,-4.0,-29.0,-1.092,-10.687,-0.03,-0.1,12.6,6.13,23.2,1.32
QSO-J1509-1749,41.6,40.9,-0.0,0.0,5.0,5.0,7.0,43.0,34.556,-6.681,0.84,0.18,46.0,11.24,12.5,1.67
QSO-J1512+4422,45.6,47.6,4.0,0.16,5.49,1.35,-100.0,-119.0,-40.515,-22.207,-0.85,-2.1,37.7,14.58,18.4,1.64
QSO-J1516+4228,42.9,43.3,0.15,-2.03,2.43,1.41,57.0,32.0,45.239,40.286,1.04,1.32,7.0,11.88,89.4,1.63
QSO-J1525+4303,45.7,45.8,-0.11,0.84,1.89,8.0,-133.0,-315.0,-117.021,75.797,-2.56,-2.9,26.0,8.53,24.2,3.03
QSO-J1526-2050,49.3,47.7,-3.66,0.83,2.38,2.08,153.0,158.0,73.794,-4.995,1.55,3.22,9.2,12.61,62.6,3.32
QSO-J1558-0724,43.2,41.4,-2.15,-0.56,2.24,1.5,142.0,103.0,141.79531803789445,-0.123,3.43,3.43,4.7,21.56,156.5,2.2
QSO-J1559+2212,38.2,39.0,-0.0,-0.0,5.0,5.0,2.0,15.0,33.21,-18.08,0.85,0.06,40.4,3.29,31.3,1.11
QSO-J1602+4228,34.8,34.5,0.18,-0.15,3.84,2.0,125.0,234.0,125.1321780562897,6.72,3.63,3.63,6.2,9.4,41.7,1.14
QSO-J1603+5510,37.7,37.8,0.0,0.0,5.0,5.0,-12.0,-66.0,-18.05,-3.149,-0.48,-0.31,15.2,22.61,14.2,1.16
QSO-J1609+3041,35.9,35.9,-4.0,-2.48,6.56,1.14,-69.0,-136.0,-26.6,-16.013,-0.74,-1.93,8.0,9.86,62.6,1.22
QSO-J1609+5328,38.4,38.5,-4.0,-0.11,2.59,2.02,51.0,62.0,22.635,92.742,0.59,1.33,72.1,14.46,14.3,1.32
QSO-J1612+5559,39.3,39.6,0.0,-0.0,5.0,5.0,-4.0,-23.0,15.18,41.582,0.38,-0.11,15.0,18.63,14.2,1.32
QSO-J1623+3112,35.9,35.5,-0.0,0.0,5.0,5.0,16.0,109.0,85.592,-23.19,2.41,0.44,36.1,7.56,41.7,1.1
QSO-J1629+2407,44.7,34.5,0.0,-0.0,5.0,5.0,7.0,47.0,-6.391,-11.755,-0.19,0.2,2.7,4.22,208.7,1.28
QSO-J1630+4012,35.3,36.0,-1.39,-1.6,3.07,1.37,95.0,106.0,87.327,-23.206,2.43,2.63,9.0,16.85,56.9,1.15
QSO-J1641+3755,34.3,33.6,0.0,-0.0,5.0,5.0,-13.0,-86.0,-22.706,-33.982,-0.68,-0.38,7.8,14.52,44.7,1.25
QSO-J1724+1901,32.8,32.3,-0.0,-0.0,5.0,5.0,5.0,42.0,-2.023,-35.432,-0.06,0.16,44.0,10.04,12.0,1.07
QSO-J1932+7139,32.3,32.2,-4.0,4.0,8.0,6.12,27.0,380.0,-20.265,-69.358,-0.63,0.84,53.2,20.12,28.5,1.24
QSO-J2032-2114,38.2,38.8,-0.0,0.0,5.0,5.0,7.0,43.0,-39.501,3.033,-1.02,0.19,21.0,15.26,34.8,1.6
QSO-J2054-0005,33.8,34.0,-0.0,-0.0,5.0,5.0,-1.0,-7.0,-16.937,37.983,-0.5,-0.03,11.8,14.32,156.5,1.68
QSO-J2100-1715,36.3,35.6,1.97,-1.9,3.78,2.03,-53.0,-93.0,-24.638,-18.353,-0.69,-1.48,21.6,8.94,62.6,1.57
QSO-J2132+1217,29.6,29.6,-0.0,0.0,5.0,5.0,5.0,42.0,-19.325,-16.257,-0.65,0.18,13.0,19.49,125.2,1.34
QSO-J2201+0155,35.2,35.1,-1.0,-4.0,1.83,8.0,27.0,112.0,5.791,17.56,0.16,0.78,3.0,4.76,156.5,1.54
QSO-J2211-3206,40.7,41.1,0.0,0.0,5.0,5.0,-14.0,-62.0,-16.952,14.852,-0.41,-0.35,22.3,14.57,32.9,1.81
QSO-J2215+2606,33.9,33.7,0.0,0.0,5.0,5.0,2.0,16.0,9.39,-33.73,0.28,0.07,9.8,13.84,36.8,1.24
QSO-J2216-0016,31.8,31.1,-0.0,-0.0,5.0,5.0,3.0,24.0,0.405,46.439,0.01,0.11,5.4,21.13,104.3,1.64
QSO-J2219+0102,34.7,34.1,0.0,0.0,5.0,5.0,-13.0,-90.0,24.125,57.411,0.71,-0.37,10.4,15.19,48.2,1.5
QSO-J2228+0128,32.8,33.1,-0.0,-0.0,5.0,5.0,-6.0,-44.0,-3.228,-3.05,-0.1,-0.19,16.8,1.96,52.2,1.45
